model_name,macro_f1_raw,macro_f1_structured,weighted_f1_raw,weighted_f1_structured
random_forest,0.5931844733741356,0.6321662739600733,0.9803123367274051,0.9823087269763562
extra_trees,0.574811482616858,0.6294264581040105,0.9777579262742214,0.9819422877936697
catboost,0.560788548681521,0.626710954687932,0.9725327937733644,0.9818973321572914
lightgbm,0.5333099958634377,0.5697568641211875,0.9816365062396891,0.9803201399899745
