config,feature_count,macro_f1_raw,macro_f1_structured
no_position,35,0.5772793076602664,0.6475659477085195
no_design,29,0.5932902015738089,0.6369092090762642
all_features,38,0.5931844733741356,0.6321662739600733
no_rolling,26,0.5199845081446802,0.5418874953424523
no_dynamic,25,0.4796590829094564,0.4827892789930336
raw_minimal,12,0.34144601302785693,0.4015919119965533
